hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3)
263,31.3549101,38.99114408,0,364.8,2.87
264,27.14281611,40.57924145,0,364.8,2.87
265,25.11061156,41.86437039,0,364.8,2.87
266,24.19752466,42.7123125,0,364.8,2.87
267,23.74653212,43.15074276,0,364.8,2.87
268,23.57768995,43.86505263,0,364.8,2.87
269,23.87793678,44.88499539,0,364.8,2.87
270,25.28856419,45.66755132,0,364.8,2.87
271,27.91566171,46.14644605,0,864.5,2.87
272,30.86100294,43.34665263,0,864.5,2.87
273,34.73481431,38.74849934,0,864.5,2.87
274,36.0448533,33.24430066,0,1390.2,2.87
275,36.57965707,29.21863618,0,1390.2,2.87
276,35.38444469,26.99055,0,1390.2,2.87
277,33.76626812,26.00053816,0,1390.2,2.87
278,33.77157011,26.324325,0,1390.2,2.87
279,33.69649596,28.87646447,0,864.5,2.87
280,34.80349123,33.73070921,0,864.5,2.87
281,36.93556233,35.54670789,0,864.5,2.87
282,38.45026302,35.68543816,0,1390.2,2.87
283,37.75154569,36.38807763,0,1390.2,2.87
284,37.18824062,37.51525658,0,1390.2,2.87
285,36.1445456,38.27395658,0,864.5,2.87
286,34.48908087,38.84363882,0,864.5,2.87
287,31.11863473,39.10134671,0,364.8,2.87
288,28.29429221,39.346425,0,364.8,2.87
289,26.17587571,39.71845658,0,364.8,2.87
290,25.22405305,39.70540066,0,364.8,2.87
291,24.75392811,39.17154671,0,364.8,2.87
292,24.57792317,39.52299079,0,364.8,2.87
293,24.89090733,40.13478947,0,364.8,2.87
294,26.36137759,40.66228421,0,364.8,2.87
295,29.09992412,40.98477434,0,864.5,2.87
296,32.17021518,40.34625987,0,864.5,2.87
297,36.20836473,38.48016908,0,864.5,2.87
298,37.57397934,35.55240987,0,1390.2,2.87
299,38.13147102,33.45511382,0,1390.2,2.87
300,36.8855543,30.84897434,0,1390.2,2.87
301,35.19873004,29.12079671,0,1390.2,2.87
302,35.20425695,29.15326776,0,1390.2,2.87
303,35.12599794,30.92572895,0,864.5,2.87
304,36.27995512,32.60608816,0,864.5,2.87
305,38.50247479,34.23225197,0,864.5,2.87
306,40.08143343,35.35904013,0,1390.2,2.87
307,39.35307451,36.22659276,0,1390.2,2.87
308,38.76587242,36.87302961,0,1390.2,2.87
309,37.67790087,37.14326053,0,864.5,2.87
310,35.95220658,37.19575066,0,864.5,2.87
311,32.43877645,37.09485592,0,364.8,2.87
312,28.29910285,37.23353289,0,364.8,2.87
313,26.18032618,37.97894605,0,364.8,2.87
314,25.22834168,38.98295526,0,364.8,2.87
315,24.75813681,39.87491447,0,364.8,2.87
316,24.58210195,40.50524013,0,364.8,2.87
317,24.89513933,40.83597237,0,364.8,2.87
318,26.3658596,40.93008158,0,364.8,2.87
319,29.10487174,40.79309211,0,864.5,2.87
320,32.17568482,39.21664737,0,864.5,2.87
321,36.21452094,36.60871382,0,864.5,2.87
322,37.58036773,34.22987171,0,1390.2,2.87
323,38.1379542,31.64426645,0,1390.2,2.87
324,36.89182565,29.87939013,0,1390.2,2.87
325,35.20471459,29.1492,0,1390.2,2.87
326,35.21024244,29.44447697,0,1390.2,2.87
327,35.13197012,30.80712434,0,864.5,2.87
328,36.28612351,32.13193618,0,864.5,2.87
329,38.50902105,33.21875724,0,864.5,2.87
330,40.08824815,34.03438816,0,1390.2,2.87
331,39.35976539,34.99839474,0,1390.2,2.87
332,38.77246346,35.73242171,0,1390.2,2.87
333,37.68430693,36.64855658,0,864.5,2.87
334,35.95831924,37.88798092,0,864.5,2.87
335,32.44429175,39.06779211,0,364.8,2.87
336,27.87095541,40.38539211,0,364.8,2.87
337,25.78423448,41.31973421,0,364.8,2.87
338,24.8466529,41.85,0,364.8,2.87
339,24.38356194,42.20844276,0,364.8,2.87
340,24.21019037,42.80977895,0,364.8,2.87
341,24.51849169,43.57156974,0,364.8,2.87
342,25.9669609,44.26825855,0,364.8,2.87
343,28.66453353,44.56651974,0,864.5,2.87
344,31.68888715,42.33777632,0,864.5,2.87
345,35.66661825,39.26370197,0,864.5,2.87
346,37.01180065,36.16918224,0,1390.2,2.87
347,37.56095119,33.38805789,0,1390.2,2.87
348,36.33367577,31.15183618,0,1390.2,2.87
349,34.67208963,29.89841447,0,1390.2,2.87
350,34.67753385,29.74044671,0,1390.2,2.87
351,34.60044574,30.72445461,0,864.5,2.87
352,35.73713751,33.01732303,0,864.5,2.87
353,37.92640403,34.41384474,0,864.5,2.87
354,39.48173843,35.14756974,0,1390.2,2.87
355,38.76427715,36.19245197,0,1390.2,2.87
356,38.18586073,37.986975,0,1390.2,2.87
357,37.11416732,39.14547039,0,864.5,2.87
358,35.41429272,40.35643816,0,864.5,2.87
359,31.95343023,41.61641447,0,364.8,2.87
360,27.7285603,42.85260592,0,364.8,2.87
361,25.65250061,43.34443224,0,364.8,2.87
362,24.71970922,43.09214211,0,364.8,2.87
363,24.25898422,43.09420263,0,364.8,2.87
364,24.08649843,43.32508816,0,364.8,2.87
365,24.39322461,43.53471118,0,364.8,2.87
366,25.83429347,43.45973289,0,364.8,2.87
367,28.51808397,42.73757171,0,864.5,2.87
368,31.52698591,38.73219276,0,864.5,2.87
369,35.48439444,34.33444342,0,864.5,2.87
370,36.82270418,30.68754276,0,1390.2,2.87
371,37.36904906,28.39877763,0,1390.2,2.87
372,36.1480439,27.27991184,0,1390.2,2.87
373,34.49494694,27.24239605,0,1390.2,2.87
374,34.50036335,27.83138684,0,1390.2,2.87
375,34.42366909,29.24492566,0,864.5,2.87
376,35.55455341,32.55009868,0,864.5,2.87
377,37.73263478,35.61479408,0,864.5,2.87
378,39.28002283,36.02901316,0,1390.2,2.87
379,38.56622712,37.65277895,0,1390.2,2.87
380,37.99076589,39.835125,0,1390.2,2.87
381,36.92454785,41.7484125,0,864.5,2.87
382,35.23335805,43.37560658,0,864.5,2.87
383,31.79017741,44.74823684,0,364.8,2.87
384,27.28001572,45.92010789,0,364.8,2.87
385,25.23753892,46.92921513,0,364.8,2.87
386,24.31983662,47.93441447,0,364.8,2.87
387,23.86656443,48.79113158,0,364.8,2.87
388,23.69686881,49.297275,0,364.8,2.87
389,23.9986333,49.67603882,0,364.8,2.87
390,25.41639105,50.18596579,0,364.8,2.87
391,28.05676784,50.49051513,0,864.5,2.87
392,31.01699698,46.72321579,0,864.5,2.87
393,34.91038942,42.03539408,0,864.5,2.87
394,36.2270503,36.39562697,0,1390.2,2.87
395,36.76455736,33.11928355,0,1390.2,2.87
396,35.56330351,31.66101711,0,1390.2,2.87
397,33.93694749,30.06327434,0,1390.2,2.87
398,33.94227628,29.11683553,0,1390.2,2.87
399,33.86682265,29.69658947,0,864.5,2.87
400,34.97941348,34.01795724,0,864.5,2.87
401,37.12226162,37.08840789,0,864.5,2.87
402,38.64461872,37.60469408,0,1390.2,2.87
403,37.94236956,37.64519408,0,1390.2,2.87
404,37.37621713,37.65499934,0,1390.2,2.87
405,36.32724652,37.85735724,0,864.5,2.87
406,34.66341386,38.07321513,0,864.5,2.87
407,31.27593103,38.30637434,0,364.8,2.87
408,25.98691423,38.64620132,0,364.8,2.87
409,24.04125298,38.95037763,0,364.8,2.87
410,23.16705073,39.15945,0,364.8,2.87
411,22.73526412,38.79782763,0,364.8,2.87
412,22.57361226,38.66725066,0,364.8,2.87
413,22.8610728,39.14026579,0,364.8,2.87
414,24.21162733,39.84157303,0,364.8,2.87
415,26.72684748,40.26771118,0,864.5,2.87
416,29.54675864,38.43013026,0,864.5,2.87
417,33.25560017,35.03811316,0,864.5,2.87
418,34.50984994,29.97756711,0,1390.2,2.87
419,35.0218786,23.88389803,0,1390.2,2.87
420,33.87756545,21.78010066,0,1390.2,2.87
421,32.32830042,21.44302697,0,1390.2,2.87
422,32.33337661,22.19398224,0,1390.2,2.87
423,32.26149956,23.84815855,0,864.5,2.87
424,33.32135242,27.75619539,0,864.5,2.87
425,35.3626273,31.31786842,0,864.5,2.87
426,36.81282307,32.26729145,0,1390.2,2.87
427,36.14386126,33.23112039,0,1390.2,2.87
428,35.60454505,34.15539079,0,1390.2,2.87
429,34.60529675,35.18751908,0,864.5,2.87
430,33.02033152,36.62422105,0,864.5,2.87
431,29.79341894,37.72551908,0,364.8,2.87
432,25.89531954,38.756475,0,364.8,2.87
433,23.95651606,39.68571908,0,364.8,2.87
434,23.08539507,39.81407566,0,364.8,2.87
435,22.65513035,39.79538882,0,364.8,2.87
436,22.49404825,40.65834079,0,364.8,2.87
437,22.78049559,42.52517763,0,364.8,2.87
438,24.1262899,44.16894474,0,364.8,2.87
439,26.63264478,44.65075263,0,864.5,2.87
440,29.44261675,40.85179934,0,864.5,2.87
441,33.13838593,35.24313553,0,864.5,2.87
442,34.38821492,30.06570789,0,1390.2,2.87
443,34.89843886,26.88407763,0,1390.2,2.87
444,33.758159,24.78083092,0,1390.2,2.87
445,32.21435458,23.52621908,0,1390.2,2.87
446,32.21941289,23.21674934,0,1390.2,2.87
447,32.14778918,25.78277961,0,864.5,2.87
448,33.20390643,31.67414408,0,864.5,2.87
449,35.23798654,34.3524375,0,864.5,2.87
450,36.68307087,34.71564079,0,1390.2,2.87
451,36.01646692,35.82740132,0,1390.2,2.87
452,35.47905161,36.49526053,0,1390.2,2.87
453,34.48332531,36.89823553,0,864.5,2.87
454,32.90394652,37.62263487,0,864.5,2.87
455,29.68840767,38.77024145,0,364.8,2.87
456,26.98233298,39.82546184,0,364.8,2.87
457,24.96214393,40.70429408,0,364.8,2.87
458,24.0544557,41.87060526,0,364.8,2.87
459,23.60612967,42.44852961,0,364.8,2.87
460,23.43828579,42.94378421,0,364.8,2.87
461,23.7367574,43.51341316,0,364.8,2.87
462,25.1390444,43.85057566,0,364.8,2.87
463,27.75060909,43.69347829,0,864.5,2.87
464,30.67853586,40.37123487,0,864.5,2.87
465,34.52944314,35.84264211,0,864.5,2.87
466,35.83173647,32.54370395,0,1390.2,2.87
467,36.36337819,30.01828026,0,1390.2,2.87
468,35.17523256,28.05292895,0,1390.2,2.87
469,33.56662353,26.92035,0,1390.2,2.87
470,33.57189417,26.40390395,0,1390.2,2.87
471,33.49726389,27.32963092,0,864.5,2.87
472,34.597714,31.03994605,0,864.5,2.87
473,36.71717914,31.79127434,0,864.5,2.87
474,38.22292409,30.77833026,0,1390.2,2.87
475,37.52833796,31.84197039,0,1390.2,2.87
476,36.96836346,34.16773618,0,1390.2,2.87
477,35.93083934,36.42310658,0,864.5,2.87
478,34.28516262,36.87841184,0,864.5,2.87
479,30.93464439,36.38624803,0,364.8,2.87
480,26.45393169,36.78982697,0,364.8,2.87
481,24.47330447,37.65061184,0,364.8,2.87
482,23.58339171,38.77729342,0,364.8,2.87
483,23.14384535,39.79521118,0,364.8,2.87
484,22.9792884,40.57956118,0,364.8,2.87
485,23.27191496,41.07769342,0,364.8,2.87
486,24.64674066,41.1226875,0,364.8,2.87
487,27.20716247,41.43102039,0,864.5,2.87
488,30.07775097,38.41115921,0,864.5,2.87
489,33.85324503,34.05895461,0,864.5,2.87
490,35.13003525,29.33805789,0,1390.2,2.87
491,35.65126571,26.3557125,0,1390.2,2.87
492,34.48638781,24.6405375,0,1390.2,2.87
