total_annual_cost,investment_cost,operational_cost,gas_import_mwh,elec_import_mwh,solve_time,gas_invested_capacity_mw,gas_price_multiplier,gas_invest_multiplier
52804414.02,26614.74,52777799.28,450247.09,109253.58,46.77,120.0,0.1,0.6
52804108.75,26309.39,52777799.35,450247.09,109253.58,34.96,120.0,0.1,0.5
52803803.37,26004.05,52777799.32,450247.09,109253.58,41.87,120.0,0.1,0.4
52803498.06,25698.71,52777799.35,450247.09,109253.58,49.85,120.0,0.1,0.3
52803192.72,25393.37,52777799.35,450247.09,109253.58,42.06,120.0,0.1,0.2
52802887.37,25088.02,52777799.35,450247.09,109253.58,34.18,120.0,0.1,0.1
52802582.03,24782.68,52777799.35,450247.09,109253.58,15.98,146.0,0.1,0.0
39883304.01,27596.23,39855707.78,450928.27,109253.58,29.02,120.0,0.0,1.0
39882998.66,27290.89,39855707.77,450928.27,109253.58,62.06,120.0,0.0,0.9
39882693.32,26985.55,39855707.77,450928.27,109253.58,58.09,120.0,0.0,0.8
39882386.51,26678.74,39855707.78,450787.27,109253.58,62.56,130.0,0.0,0.7
39882078.86,26371.08,39855707.78,450787.27,109253.58,140.07,130.0,0.0,0.6
39881771.2,26063.42,39855707.78,450787.27,109253.58,64.75,130.0,0.0,0.5
39881463.55,25755.77,39855707.78,450787.27,109253.58,95.12,130.0,0.0,0.4
39881155.89,25448.11,39855707.78,450787.27,109253.58,120.21,130.0,0.0,0.3
39880848.24,25140.46,39855707.78,450787.27,109253.58,71.23,130.0,0.0,0.2
39880540.56,24832.8,39855707.76,450787.27,109253.58,128.29,130.0,0.0,0.1
39880232.76,24525.14,39855707.61,450787.28,109253.58,85.22,164.0,0.0,0.0
